# ell, DTT, DTE, DEE
# from class within cobaya (https://cobaya.readthedocs.io/en/latest/) to compare to their plik-lite values
8.700000000000000000e+01 2.309438036890951480e+03 -1.472630409221773462e+01 5.744202960366443511e-01
8.800000000000000000e+01 2.337680007058450883e+03 -1.533968963316128509e+01 5.898851253459338473e-01
8.900000000000000000e+01 2.366161144684529518e+03 -1.595981302028793714e+01 6.053788924886638334e-01
9.000000000000000000e+01 2.394878616084099122e+03 -1.658605799808927372e+01 6.208868546787851272e-01
9.100000000000000000e+01 2.423827588036659108e+03 -1.721777797293764323e+01 6.363938107837184832e-01
9.200000000000000000e+01 2.453001141354398897e+03 -1.785429557482750695e+01 6.518840979449253004e-01
9.300000000000000000e+01 2.482392512160357455e+03 -1.849495530234520402e+01 6.673421556896609319e-01
9.400000000000000000e+01 2.512002389052952367e+03 -1.913929146669406833e+01 6.827543226579854130e-01
9.500000000000000000e+01 2.541832558738274656e+03 -1.978688481369685803e+01 6.981073051127819618e-01
9.600000000000000000e+01 2.571883622359178844e+03 -2.043731197768980579e+01 7.133876378777318505e-01
9.700000000000000000e+01 2.602154941015484383e+03 -2.109014577192877482e+01 7.285816887477443160e-01
9.800000000000000000e+01 2.632644581284167998e+03 -2.174495547899537229e+01 7.436756628993863583e-01
9.900000000000000000e+01 2.663349260739556939e+03 -2.240130714120300581e+01 7.586556073013083212e-01
1.000000000000000000e+02 2.694264293473528596e+03 -2.305876385100307147e+01 7.735074151246753571e-01
1.010000000000000000e+02 2.725383535615701476e+03 -2.371688604139104939e+01 7.882168301535961152e-01
1.020000000000000000e+02 2.756699330853633001e+03 -2.437523177631257809e+01 8.027694511955490997e-01
1.030000000000000000e+02 2.788202455953015942e+03 -2.503335704106963178e+01 8.171507364918150218e-01
1.040000000000000000e+02 2.819884075403072075e+03 -2.569080331123871730e+01 8.313462485199295537e-01
1.050000000000000000e+02 2.851742023408543901e+03 -2.634705772146142522e+01 8.453424165635851084e-01
1.060000000000000000e+02 2.883775272887835399e+03 -2.700158803238969796e+01 8.591258858566588330e-01
1.070000000000000000e+02 2.915981970116442426e+03 -2.765385502048511412e+01 8.726832933570487505e-01
1.080000000000000000e+02 2.948359402325439987e+03 -2.830331262862845065e+01 8.860012747987724424e-01
1.090000000000000000e+02 2.980903965299984520e+03 -2.894940811672919878e+01 8.990664717440685072e-01
1.100000000000000000e+02 3.013611130977798439e+03 -2.959158221233510488e+01 9.118655386354926895e-01
1.110000000000000000e+02 3.046475415047672413e+03 -3.022926926124176816e+01 9.243851498480210038e-01
1.120000000000000000e+02 3.079490344547954919e+03 -3.086189737810211398e+01 9.366120067411449757e-01
1.130000000000000000e+02 3.112648425465049058e+03 -3.148888859703599152e+01 9.485328447109752092e-01
1.140000000000000000e+02 3.145941110331906657e+03 -3.210965902223971824e+01 9.601344402423384050e-01
1.150000000000000000e+02 3.179358765826520539e+03 -3.272361897859560997e+01 9.714036179608767085e-01
1.160000000000000000e+02 3.212891997069752051e+03 -3.333018389282059246e+01 9.823276531404857570e-01
1.170000000000000000e+02 3.246535872452767762e+03 -3.392880811576736733e+01 9.928955196669884131e-01
1.180000000000000000e+02 3.280286154014691874e+03 -3.451895551424134823e+01 1.003096807752390740e+00
1.190000000000000000e+02 3.314137966520297596e+03 -3.510008935122232998e+01 1.012921352489717375e+00
1.200000000000000000e+02 3.348085777054073787e+03 -3.567167253135068705e+01 1.022359244401622735e+00
1.210000000000000000e+02 3.382123374614293880e+03 -3.623316784641341570e+01 1.031400839989000673e+00
1.220000000000000000e+02 3.416243849707082518e+03 -3.678403822083033958e+01 1.040036772279594901e+00
1.230000000000000000e+02 3.450439573940482205e+03 -3.732374695714008084e+01 1.048257961376607206e+00
1.240000000000000000e+02 3.484702179618523587e+03 -3.785175798148627990e+01 1.056055625007309651e+00
1.250000000000000000e+02 3.519022539335290276e+03 -3.836753608910368030e+01 1.063421289071653897e+00
1.260000000000000000e+02 3.553390745568984130e+03 -3.887054718980416368e+01 1.070346798190877857e+00
1.270000000000000000e+02 3.587796090276000996e+03 -3.936025855346294833e+01 1.076824326256121012e+00
1.280000000000000000e+02 3.622227044484988710e+03 -3.983613905550468104e+01 1.082846386977030617e+00
1.290000000000000000e+02 3.656672459662249366e+03 -4.029766406256064926e+01 1.088406142896393591e+00
1.300000000000000000e+02 3.691125364157318472e+03 -4.074433017399366719e+01 1.093498348355851801e+00
1.310000000000000000e+02 3.725579546607873908e+03 -4.117564256898101149e+01 1.098118530390840730e+00
1.320000000000000000e+02 3.760028359952273604e+03 -4.159111078725381105e+01 1.102262712096869102e+00
1.330000000000000000e+02 3.794464709766176838e+03 -4.199024900778660196e+01 1.105927425313840251e+00
1.340000000000000000e+02 3.828881042599162356e+03 -4.237257632748674752e+01 1.109109723310378159e+00
1.350000000000000000e+02 3.863269334311339662e+03 -4.273761703988391503e+01 1.111807193468149935e+00
1.360000000000000000e+02 3.897621078409974871e+03 -4.308490091381957399e+01 1.114017969966189403e+00
1.370000000000000000e+02 3.931927274386097906e+03 -4.341396347213649420e+01 1.115740746465222921e+00
1.380000000000000000e+02 3.966178416051130171e+03 -4.372434627036818000e+01 1.116974788791990525e+00
1.390000000000000000e+02 4.000364479873493565e+03 -4.401559717542840389e+01 1.117719947623571963e+00
1.400000000000000000e+02 4.034474913315230879e+03 -4.428727064430060523e+01 1.117976671171708292e+00
1.410000000000000000e+02 4.068498623168625727e+03 -4.453892800272745234e+01 1.117746017867128350e+00
1.420000000000000000e+02 4.102423963892812026e+03 -4.477013772390026958e+01 1.117029669043871021e+00
1.430000000000000000e+02 4.136238725950402113e+03 -4.498047570714857102e+01 1.115829941623608823e+00
1.440000000000000000e+02 4.169931107294944013e+03 -4.516952958163169995e+01 1.114149876974679820e+00
1.450000000000000000e+02 4.203492760399082727e+03 -4.533691150725761787e+01 1.111993490584386457e+00
1.460000000000000000e+02 4.236916024849474525e+03 -4.548224717141442142e+01 1.109365571227954428e+00
1.470000000000000000e+02 4.270192965210078910e+03 -4.560517217643874943e+01 1.106271620010006229e+00
1.480000000000000000e+02 4.303315365009063498e+03 -4.570533234143749013e+01 1.102717863486672778e+00
1.490000000000000000e+02 4.336274720725712541e+03 -4.578238400410942432e+01 1.098711266787702145e+00
1.500000000000000000e+02 4.369062235777346359e+03 -4.583599432256696815e+01 1.094259546738569178e+00
1.510000000000000000e+02 4.401668814506218951e+03 -4.586584157715775234e+01 1.089371184982585339e+00
1.520000000000000000e+02 4.434085056166433787e+03 -4.587161547228638625e+01 1.084055441103007889e+00
1.530000000000000000e+02 4.466301248910852337e+03 -4.585301743823606557e+01 1.078322365745149058e+00
1.540000000000000000e+02 4.498307363778004401e+03 -4.580976093299030794e+01 1.072182813738486340e+00
1.550000000000000000e+02 4.530093048678994819e+03 -4.574157174405460324e+01 1.065648457218771439e+00
1.560000000000000000e+02 4.561647622384414717e+03 -4.564818829027803559e+01 1.058731798750139896e+00
1.570000000000000000e+02 4.592960068511250938e+03 -4.552936192367506862e+01 1.051446184447220711e+00
1.580000000000000000e+02 4.624019029509795473e+03 -4.538485723124714610e+01 1.043805817097245736e+00
1.590000000000000000e+02 4.654812800650554891e+03 -4.521445233680434939e+01 1.035825769282158637e+00
1.600000000000000000e+02 4.685329324011158860e+03 -4.501793920278717565e+01 1.027521996500725843e+00
1.610000000000000000e+02 4.715557026794468584e+03 -4.479512270048340383e+01 1.018910989070157980e+00
1.620000000000000000e+02 4.745487432217751120e+03 -4.454581709464035555e+01 1.010008665689071439e+00
1.630000000000000000e+02 4.775112769094323994e+03 -4.426984982335849850e+01 1.000831406652236577e+00
1.640000000000000000e+02 4.804425146156858318e+03 -4.396706299553584074e+01 9.913964176399160388e-01
1.650000000000000000e+02 4.833416549928956556e+03 -4.363731368702314484e+01 9.817217411780464476e-01
1.660000000000000000e+02 4.862078842596720278e+03 -4.328047423677907801e+01 9.718262680984166568e-01
1.670000000000000000e+02 4.890403759880326106e+03 -4.289643254302556841e+01 9.617297489988470005e-01
1.680000000000000000e+02 4.918382908905590739e+03 -4.248509235940284157e+01 9.514528057033702080e-01
1.690000000000000000e+02 4.946007766075543259e+03 -4.204637359112484063e+01 9.410169427224089889e-01
1.700000000000000000e+02 4.973269674942001984e+03 -4.158021259113424151e+01 9.304445587129571704e-01
1.710000000000000000e+02 5.000159844077137677e+03 -4.108656245625783043e+01 9.197589579387586145e-01
1.720000000000000000e+02 5.026669344945051307e+03 -4.056539332336164705e+01 9.089843617304861345e-01
1.730000000000000000e+02 5.052789109773338168e+03 -4.001669266550620563e+01 8.981459199459221887e-01
1.740000000000000000e+02 5.078509929424662005e+03 -3.944046558810170922e+01 8.872697224301367980e-01
1.750000000000000000e+02 5.103822451268331861e+03 -3.883673512506331349e+01 8.763828104756683501e-01
1.760000000000000000e+02 5.128717177051866202e+03 -3.820554253496628405e+01 8.655131882827032941e-01
1.770000000000000000e+02 5.153184460772560669e+03 -3.754694759720126029e+01 8.546898344192542796e-01
1.780000000000000000e+02 5.177214506549069483e+03 -3.686102890812942690e+01 8.439427132813402954e-01
1.790000000000000000e+02 5.200797366492969559e+03 -3.614788417723778480e+01 8.333027865531668077e-01
1.800000000000000000e+02 5.223923591971853057e+03 -3.540762028335911538e+01 8.228009073056742340e-01
1.810000000000000000e+02 5.246586249734697958e+03 -3.464032194080506599e+01 8.124643800507961311e-01
1.820000000000000000e+02 5.268779062330538181e+03 -3.384608110547596027e+01 8.023201486227362622e-01
1.830000000000000000e+02 5.290495769394584386e+03 -3.302500724756675510e+01 7.923958962597832389e-01
1.840000000000000000e+02 5.311730127926413843e+03 -3.217722761000615606e+01 7.827200529489792835e-01
1.850000000000000000e+02 5.332475912568117565e+03 -3.130288746689566537e+01 7.733218027707851050e-01
1.860000000000000000e+02 5.352726915882486537e+03 -3.040215038194860142e+01 7.642310912437473291e-01
1.870000000000000000e+02 5.372476948631170671e+03 -2.947519846692922840e+01 7.554786326691670384e-01
1.880000000000000000e+02 5.391719840052860491e+03 -2.852223264009180781e+01 7.470959174757646482e-01
1.890000000000000000e+02 5.410449438141440623e+03 -2.754347288461961796e+01 7.391152195643492240e-01
1.900000000000000000e+02 5.428659609924170582e+03 -2.653915850706408719e+01 7.315696036524829138e-01
1.910000000000000000e+02 5.446344241739854624e+03 -2.550954839578379918e+01 7.244929326191509311e-01
1.920000000000000000e+02 5.463497239517010712e+03 -2.445492127938362259e+01 7.179198748494260984e-01
1.930000000000000000e+02 5.480112529052029458e+03 -2.337557598515370927e+01 7.118859115791372760e-01
1.940000000000000000e+02 5.496184056287360363e+03 -2.227183169750859904e+01 7.064273442395359037e-01
1.950000000000000000e+02 5.511705787589670763e+03 -2.114402821642629604e+01 7.015813018019635416e-01
1.960000000000000000e+02 5.526671710028020243e+03 -1.999252621588730605e+01 6.973857481225178567e-01
1.970000000000000000e+02 5.541075831652023226e+03 -1.881770750231371636e+01 6.938794892867213848e-01
1.980000000000000000e+02 5.554912181770027928e+03 -1.761997527300824373e+01 6.911021809541860739e-01
1.990000000000000000e+02 5.568174811227281680e+03 -1.639975437459334273e+01 6.890943357032832672e-01
2.000000000000000000e+02 5.580857792684101696e+03 -1.515749156145023591e+01 6.878973303758089131e-01
2.010000000000000000e+02 5.592955655376682444e+03 -1.389363254530129943e+01 6.875514345708660935e-01
2.020000000000000000e+02 5.604464723428873185e+03 -1.260855077960792947e+01 6.880897239167196311e-01
2.030000000000000000e+02 5.615381873785231619e+03 -1.130261408063766559e+01 6.895437456751701832e-01
2.040000000000000000e+02 5.625704111872879366e+03 -9.976207567727639614e+00 6.919454600007860501e-01
2.050000000000000000e+02 5.635428573163792862e+03 -8.629733853129410548e+00 6.953272414370370580e-01
2.060000000000000000e+02 5.644552524737103340e+03 -7.263613231853801366e+00 6.997218804124306635e-01
2.070000000000000000e+02 5.653073366841382267e+03 -5.878283871515742831e+00 7.051625847366472799e-01
2.080000000000000000e+02 5.660988634456932232e+03 -4.474202002179105797e+00 7.116829810966738279e-01
2.090000000000000000e+02 5.668295998858081475e+03 -3.051842106201543281e+00 7.193171165529402833e-01
2.100000000000000000e+02 5.674993269175473870e+03 -1.611697108079337415e+00 7.280994600354545598e-01
2.110000000000000000e+02 5.681078393958362540e+03 -1.542785642922214207e-01 7.380649038399370587e-01
2.120000000000000000e+02 5.686549462736898931e+03 1.319883146851764222e+00 7.492487651239562174e-01
2.130000000000000000e+02 5.691404707584420976e+03 2.810238635371439031e+00 7.616867874030635033e-01
2.140000000000000000e+02 5.695642504679756712e+03 4.316219309767654444e+00 7.754151420469284073e-01
2.150000000000000000e+02 5.699261375869502444e+03 5.837237187178432762e+00 7.904704297754734377e-01
2.160000000000000000e+02 5.702259990230319090e+03 7.372684703534146955e+00 8.068896821550102239e-01
2.170000000000000000e+02 5.704637165631228527e+03 8.921934523712673482e+00 8.247103630943727337e-01
2.180000000000000000e+02 5.706391870295894478e+03 1.048433935169455467e+01 8.439703703410534885e-01
2.190000000000000000e+02 5.707523224364929774e+03 1.205923174071815929e+01 8.647080369773397779e-01
2.200000000000000000e+02 5.708030501458170875e+03 1.364592390343484496e+01 8.869621329164465440e-01
2.210000000000000000e+02 5.707913130236978759e+03 1.524370752206411339e+01 9.107718663986525964e-01
2.220000000000000000e+02 5.707170695966531639e+03 1.685185355854878608e+01 9.361768854874360501e-01
2.230000000000000000e+02 5.705802942078111300e+03 1.846961206471014094e+01 9.632172795656085418e-01
2.240000000000000000e+02 5.703809916297322161e+03 2.009625158774780473e+01 9.919308516634663953e-01
2.250000000000000000e+02 5.701192416230293020e+03 2.173118059466789731e+01 1.022344737510399559e+00
2.260000000000000000e+02 5.697951575453826081e+03 2.337383348824577212e+01 1.054483250464874899e+00
2.270000000000000000e+02 5.694088723420296446e+03 2.502363161845709882e+01 1.088370557270297079e+00
2.280000000000000000e+02 5.689605387364144008e+03 2.667998318690765913e+01 1.124030673053121987e+00
2.290000000000000000e+02 5.684503294208374427e+03 2.834228315126313547e+01 1.161487456320975609e+00
2.300000000000000000e+02 5.678784372471050119e+03 3.000991312967891034e+01 1.200764603960768673e+00
2.310000000000000000e+02 5.672450754171792141e+03 3.168224130522984083e+01 1.241885646236812635e+00
2.320000000000000000e+02 5.665504776738269356e+03 3.335862233034004731e+01 1.284873941788936103e+00
2.330000000000000000e+02 5.657948984912702144e+03 3.503839723121274830e+01 1.329752672630601484e+00
2.340000000000000000e+02 5.649786132658348834e+03 3.672089331225999587e+01 1.376544839147019861e+00
2.350000000000000000e+02 5.641019185066014870e+03 3.840542406053248214e+01 1.425273255093267855e+00
2.360000000000000000e+02 5.631651320260534703e+03 4.009128905014936350e+01 1.475960542592404057e+00
2.370000000000000000e+02 5.621685931307281862e+03 4.177777384672800309e+01 1.528629127133584120e+00
2.380000000000000000e+02 5.611126628118651752e+03 4.346414991181380572e+01 1.583301232570177186e+00
2.390000000000000000e+02 5.599977239360566273e+03 4.514967450730998166e+01 1.639998876117882975e+00
2.400000000000000000e+02 5.588241814358970259e+03 4.683359059990734607e+01 1.698743863352846217e+00
2.410000000000000000e+02 5.575924625006323367e+03 4.851512676551409697e+01 1.759557783209774406e+00
2.420000000000000000e+02 5.563030167668096510e+03 5.019349709368564305e+01 1.822462002980052009e+00
2.430000000000000000e+02 5.549563165089269205e+03 5.186790109205433907e+01 1.887477663309858222e+00
2.440000000000000000e+02 5.535528568300829647e+03 5.353752359075933498e+01 1.954625673198282065e+00
2.450000000000000000e+02 5.520931558526263871e+03 5.520153464687636102e+01 2.023926704995440584e+00
2.460000000000000000e+02 5.505777549088056730e+03 5.685908944884744187e+01 2.095401189400589725e+00
2.470000000000000000e+02 5.490072187314184703e+03 5.850932822091077412e+01 2.169069310460247202e+00
2.480000000000000000e+02 5.473821356444613230e+03 6.015137612753051144e+01 2.244951000566303367e+00
2.490000000000000000e+02 5.457031177537795884e+03 6.178434317782648577e+01 2.323065935454140529e+00
2.500000000000000000e+02 5.439707801043480686e+03 6.340737853496327148e+01 2.403430875929386090e+00
2.510000000000000000e+02 5.421856764246794228e+03 6.501983711737481997e+01 2.486051533242578770e+00
2.520000000000000000e+02 5.403483600437419227e+03 6.662112242849082122e+01 2.570930224451684953e+00
2.530000000000000000e+02 5.384594047402312754e+03 6.821063302552585128e+01 2.658068473418944144e+00
2.540000000000000000e+02 5.365194048929979544e+03 6.978776252795071855e+01 2.747467000735002163e+00
2.550000000000000000e+02 5.345289756314723491e+03 7.135189962596329849e+01 2.839125713643040783e+00
2.560000000000000000e+02 5.324887529860929135e+03 7.290242808896002202e+01 2.933043695962910036e+00
2.570000000000000000e+02 5.303993940387307703e+03 7.443872677400676707e+01 3.029219198015258296e+00
2.580000000000000000e+02 5.282615770731174962e+03 7.596016963431011959e+01 3.127649626545663697e+00
2.590000000000000000e+02 5.260760017252709986e+03 7.746612572768850669e+01 3.228331534648765100e+00
2.600000000000000000e+02 5.238433891339217553e+03 7.895595922504332975e+01 3.331260611692392182e+00
2.610000000000000000e+02 5.215644820909397822e+03 8.042902941883018286e+01 3.436431673241699070e+00
2.620000000000000000e+02 5.192400451917608734e+03 8.188469073152980116e+01 3.543838650983293093e+00
2.630000000000000000e+02 5.168708649858129320e+03 8.332229272411949239e+01 3.653474582649364866e+00
2.640000000000000000e+02 5.144577501269421191e+03 8.474118010454407113e+01 3.765331601941822814e+00
2.650000000000000000e+02 5.120015315238400945e+03 8.614069273618703448e+01 3.879400928456421038e+00
2.660000000000000000e+02 5.095030624904698016e+03 8.752016564634182316e+01 3.995672857606891171e+00
2.670000000000000000e+02 5.069632188964917987e+03 8.887892903468282668e+01 4.114136750549073795e+00
2.680000000000000000e+02 5.043828993176915901e+03 9.021630828173665861e+01 4.234781024105050307e+00
2.690000000000000000e+02 5.017630251864047750e+03 9.153162395735316181e+01 4.357593140687270328e+00
2.700000000000000000e+02 4.991045409419447424e+03 9.282419182917675471e+01 4.482559598222690234e+00
2.710000000000000000e+02 4.964084141810281835e+03 9.409332287111736548e+01 4.609665920076896128e+00
2.720000000000000000e+02 4.936756358082018778e+03 9.533832327182166466e+01 4.738896644978234818e+00
2.730000000000000000e+02 4.909072201862692964e+03 9.655849444314428354e+01 4.870235316941952775e+00
2.740000000000000000e+02 4.881042052867169332e+03 9.775313302861889042e+01 5.003664475194322669e+00
2.750000000000000000e+02 4.852676528401402720e+03 9.892153091192926695e+01 5.139165644096769903e+00
2.760000000000000000e+02 4.823986484866710271e+03 1.000629752253806970e+02 5.276719323070012457e+00
2.770000000000000000e+02 4.794983019264032009e+03 1.011767483583708014e+02 5.416304976518182102e+00
2.780000000000000000e+02 4.765677470698190518e+03 1.022621279658609126e+02 5.557901023752966907e+00
2.790000000000000000e+02 4.736080816299531762e+03 1.033184441963626625e+02 5.701484070183719055e+00
2.800000000000000000e+02 4.706201821251527690e+03 1.043452546403618015e+02 5.847026577527930868e+00
2.810000000000000000e+02 4.676048795849022099e+03 1.053421784622555322e+02 5.994499053267573707e+00
2.820000000000000000e+02 4.645630193019216676e+03 1.063088400931598585e+02 6.143870787322127214e+00
2.830000000000000000e+02 4.614954608895698584e+03 1.072448693272752536e+02 6.295109840807217694e+00
2.840000000000000000e+02 4.584030783392469857e+03 1.081499014182529521e+02 6.448183034793253832e+00
2.850000000000000000e+02 4.552867600777981352e+03 1.090235771755605327e+02 6.603055939064072177e+00
2.860000000000000000e+02 4.521474090249161236e+03 1.098655430608481964e+02 6.759692860875580855e+00
